id,icao,lat,long,elev
0,MMMX,19.43,-99.08,2224
1,KRNP,43,-84.13,224
2,CYNM,49.77,-77.78,276
3,KTWF,42.48,-114.48,1269
4,KOTH,43.42,-124.25,3
5,CZPC,49.52,-114,1187
6,CZBF,47.62,-65.75,60
7,CYWK,52.92,-66.87,547
8,CYQA,44.97,-79.3,277
9,CYCO,67.82,-115.15,20
10,PKWA,8.72,167.72,6
11,LSZS,46.53,9.88,1708
12,LSZR,47.48,9.57,396
13,LSZL,46.17,8.88,198
14,LSZH,47.48,8.53,424
15,LSZG,47.17,7.42,428
16,LSZC,46.97,8.38,445
17,LSZB,46.92,7.5,510
18,LSZA,46,8.92,276
19,LSMP,46.83,6.92,490
20,LSMM,46.75,8.12,570
21,LSME,47.1,8.3,427
22,LSMD,47.4,8.65,436
23,LSMA,46.95,8.28,441
24,LSGS,46.22,7.32,482
25,LSGG,46.25,6.12,411
26,LSGC,47.08,6.8,1018
27,LLBG,32,34.88,35
28,LGRP,36.4,28.08,3
29,LGKR,39.62,19.92,2
30,LGIR,35.33,25.17,37
31,LGAV,37.93,23.95,83
32,LATI,41.42,19.72,32
33,KQFV,,,
34,KQFU,,,
35,KQFB,,,
36,KQEW,,,
37,KQEV,,,
38,KQEN,,,
39,KQEJ,,,
40,KPTK,42.67,-83.42,295
41,KPO1,48.13,-105.17,621
42,KOWP,36.18,-96.15,267
43,KMVH,46.83,-108.93,1352
44,KLWM,42.72,-71.13,42
45,KIKT,28.52,-88.28,36
46,KHRF,46.25,-114.13,1112
47,KGUL,27.3,-93.53,20
48,KGNG,42.92,-114.77,1128
49,KDSF,28.35,-88.27,40
50,KAVK,36.77,-98.67,450
51,KACP,30.75,-92.68,31
52,EYVI,54.63,25.28,180
53,EYSA,55.9,23.4,135
54,EYPA,55.97,21.08,15
55,EYKA,54.97,24.08,68
56,EVVA,57.35,21.55,1
57,EVRA,56.92,23.97,7
58,EVLA,56.52,21.1,5
59,EVGA,56.78,24.85,61
60,ESTL,56.07,13.2,39
61,ESTA,56.28,12.83,19
62,ESMX,56.92,14.72,176
63,ESMT,56.68,12.82,24
64,ESMS,55.53,13.37,68
65,ESMQ,56.68,16.3,3
66,ESMK,55.92,14.08,20
67,ESGT,58.32,12.33,40
68,ESGP,57.77,11.87,15
69,ESGJ,57.77,14.07,224
70,ESGG,57.67,12.3,152
71,ENZV,58.88,5.63,7
72,ENVA,63.47,10.92,12
73,ENTO,59.2,10.27,84
74,ENTC,69.68,18.92,9
75,ENRY,59.37,10.77,45
76,ENRO,62.57,11.33,624
77,ENOL,63.7,9.6,9
78,ENHD,59.35,5.22,22
79,ENGM,60.2,11.07,204
80,ENDU,69.05,18.55,65
81,ENCN,58.2,8.07,17
82,ENBR,60.28,5.22,49
83,ENBO,67.27,14.37,13
84,ENAN,69.3,16.13,13
85,ENAL,62.57,6.12,21
86,EKYT,57.1,9.87,2
87,EKVG,62.07,-7.27,89
88,EKVD,55.43,9.32,41
89,EKSP,55.22,9.27,40
90,EKSB,54.97,9.8,23
91,EKRS,55.42,11.8,34
92,EKRN,55.07,14.75,14
93,EKRK,55.58,12.13,40
94,EKKA,56.3,9.12,50
95,EKEB,55.52,8.55,29
96,EKCH,55.62,12.67,4
97,EKBI,55.73,9.15,67
98,EKAH,56.28,10.62,25
99,EFVA,63.05,21.77,4
100,EFUT,60.88,26.93,104
101,EFTU,60.52,22.27,47
102,EFTP,61.42,23.62,111
103,EFSI,62.7,22.83,90
104,EFSA,61.95,28.93,90
105,EFRO,66.57,25.82,201
106,EFPO,61.47,21.8,10
107,EFOU,64.92,25.37,15
108,EFMI,61.68,27.2,99
109,EFMA,60.12,19.9,6
110,EFLP,61.03,28.15,102
111,EFKU,63.02,27.8,92
112,EFKT,67.7,24.85,190
113,EFKS,66,29.23,270
114,EFKK,63.72,23.13,25
115,EFKI,64.27,27.67,132
116,EFKE,65.78,24.57,15
117,EFJY,62.4,25.68,139
118,EFJO,62.67,29.62,118
119,EFIV,68.62,27.42,145
120,EFHK,60.32,24.97,56
121,EFHA,61.85,24.8,144
122,EFET,68.37,23.43,300
123,EETU,58.32,26.68,67
124,EETN,59.4,24.82,41
125,EEPU,58.42,24.47,13
126,EEKE,58.23,22.52,4
127,EDDW,53.03,8.8,5
128,EDDV,52.47,9.68,53
129,EDDS,48.68,9.22,374
130,EDDR,49.22,7.1,317
131,EDDP,51.43,12.23,129
132,EDDN,49.5,11.05,312
133,EDDM,48.35,11.82,445
134,EDDL,51.3,6.77,37
135,EDDK,50.87,7.15,92
136,EDDH,53.63,10,8
137,EDDG,52.13,7.7,46
138,EDDF,50.05,8.6,113
139,EDDE,50.98,10.97,314
140,EDDC,51.13,13.75,227
141,EDDB,52.38,13.53,48
